post_id,title,1,2,3,4,5,6,7,8
621b877900000000010295c0,太爽了吧！超厉害的省钱秘密！看完省下一个亿,0,2,0,2,0,0,0,1
63f74e4e00000000130335b1,血泪教训😭全屋定制坑人地方太多了‼️,2,1,2,0,0,0,0,0
63f820da0000000013009224,麻雀虽小五脏俱全,0,2,0,0,1,0,0,0
63f8635f00000000130166f4,案例专辑❤️学习 | 厂区更新,0,2,0,0,1,0,0,0
63faaa4f000000001300936d,极限拉扯,0,2,0,1,0,0,0,0
63fd950d0000000013004d3c,🈲绝对不能和同事说的8句话❗职场社交禁,2,1,2,0,0,0,0,0
64000353000000000800d341,厦门的小马尔代夫🏝️本地人的小众景点,0,1,0,2,0,0,0,0
64047bdd00000000270291e1,宿舍美食大赏🥣,0,1,0,0,0,2,0,0
6406acf70000000013035f5c,🆘那些陪我瘦了20斤的低卡好物合集～,0,2,0,0,1,0,0,0
6409663f000000001300938b,重庆本地人爱吃的40家小面！你们吃过几家？,0,1,0,0,0,2,0,0
640affb10000000013002caf,实习生下班如何十分钟做一顿饭！,0,2,0,0,0,1,0,0
640b09da000000001300b951,体会到了谢娜瘦20斤的快乐！不仅如此还发现,0,2,1,0,2,0,0,0
640b2a29000000002702992f,如何激发他对你的分享欲？,0,1,2,0,0,1,0,0
640b4bb5000000001303547e,明星博主纯欲泳衣合集🧊这身材我先流口水🤤,0,2,0,0,2,1,2,0
640c1588000000002701246b,教招必看🔥2分钟自我介绍示范💯,0,2,0,0,0,1,0,0
640dabb5000000001300a2e5,法学生是不是应该趁年轻多学一门技术工种,0,0,2,0,0,1,0,0
64105d74000000001300924b,162/120 梨型身材🍐腿粗不p图不拉腿！,0,0,0,0,2,1,0,0
6411b18200000000270100c5,精准拿捏：我好像快成恋爱高手了2,0,2,0,0,2,1,0,0
6411b730000000002702ad92,摆脱对“异性认可”的依赖才能真自信！,0,2,0,0,0,1,0,0
6411e845000000001303ea00,学艺术的出路，月入3w的搞钱思路,0,2,0,0,0,1,0,0
6412db4a0000000013012122,在成都的巷子里点一整只冒烤鸭是什么体验～,0,1,2,0,0,0,0,0
641457e6000000001301532b,160 130斤｜😭挖到了巨显瘦又显🐻的裙子！！！,0,2,0,0,1,0,0,0
64146f4d0000000013008d4a,才三次！！真的震惊🤯,0,0,1,2,0,0,0,0
641473c30000000027012f64,老宅改造第13天，四川无烟灶如何排烟,0,0,2,0,1,0,0,0
6416eac2000000001300f023,我发现了一个宝藏！巨甜巨好看！醉酒甜撩,0,0,1,2,0,0,0,0
6417cc71000000001300ef41,大码女生的春夏浅色系裤子分享！,0,1,0,0,0,2,0,0
64183408000000001301266d,新穿搭法则：万物皆可搭👖,0,1,0,2,0,0,0,0
641be0f300000000130056e3,捡蘑菇一路都是美景,0,1,0,0,2,0,0,0
641d045d000000000800f12a,宿舍跟练vlog｜第2⃣️练（臀部🍑训练‼️,0,1,0,0,0,2,0,0
641ff43e000000001203d00b,1000w网红anna安娜要闭店了？😱四月清仓蹲住,0,0,2,0,0,0,0,1
6421647c0000000013030a90,💽日常15.| 是练体态苦还是驼背舒服？,0,2,0,0,2,0,1,0
6423ec7a000000001300c002,琪琪这个芋泥控的福利来了,0,2,0,0,0,1,0,0
6424134f0000000013010122,🍎小红书苹果型穿搭博主推荐,0,1,0,0,0,2,0,0
6424e49f0000000013008be6,全英Vlog | 纽约打工人我呀终于攒钱买车啦~,0,2,0,0,0,1,0,0
642567680000000027029e48,伦敦打工人溜回🇨🇳鹤岗办公的快乐谁懂啊！,0,1,0,0,2,2,1,0
6425e61e0000000027002482,法国老公看甄嬛传后遗症之开始频繁多花钱,0,0,0,0,1,2,0,0
6426afcd00000000120312dd,谁规定的老师下班不能关机?,0,0,1,0,0,2,1,0
6428d7b2000000001203c1f6,我是小护士｜心肺复苏,0,1,0,0,0,2,0,0
64294c890000000027000c5b,“芜湖起飞”“蚌埠住了”原来都在这里～,0,2,0,0,1,2,0,0
64337b6700000000110122eb,大错特错！是因为你不会好好吃饭,0,1,2,0,0,0,0,0
6433915d0000000013012951,关于青年干部借好“三力”这篇文章真的很棒！,0,1,2,0,0,0,0,0
6438d39b00000000130304c2,求救！到底怎么才能练成这样啊…,0,0,2,0,0,0,1,0
64390073000000001303ca6e,成为Baby茶会模特分几步,0,2,1,0,0,2,0,0
643b52790000000013001c92,160/140看大🍐出去玩怎么穿 有侧面喔,0,2,1,0,1,0,1,0
643b7e020000000014026678,130斤微胖模特｜我不止一种风格,0,0,0,0,2,1,0,0
643ba1a1000000001300758a,我拍了几百次厦门总结的不踩雷攻略～,1,2,0,0,0,0,0,0
643d2e3f000000001303e5ba,如何有效推动其他人帮你一起干活🥂,0,1,2,0,0,0,0,0
643e8451000000000703b632,今天，你穿的是“上扬感”的服装吗？,0,1,2,0,0,0,0,0
64425e82000000001300855a,掏空钱包买了电视，凭啥还让我看广告、买会员,0,1,2,1,0,0,0,0
6442765f000000001303511b,是我穿衣，不是衣穿我丨女大学生穿搭,0,1,0,0,2,0,0,0
6443b33c0000000014027897,高个大骨架连衣裙避雷⚠️衣服穿对气质加倍～,1,2,0,0,2,2,0,0
6444e35b000000002701326f,花茶首月2W+💰新手创业必备3个宝藏工具‼️,0,2,2,0,0,1,0,0
6445169500000000130373a4,实习护士生存指南有哪些？,0,0,2,0,0,1,0,0
6445350800000000130009ff,不同专业老师请假的态度！！！,0,0,0,0,2,1,0,0
6447b2fe000000002700313d,嘎嘎帅 |黑白果然最帅|中性高级设计感爱了！,0,2,0,2,0,1,0,0
6447dabe0000000012033041,10件阳台晾晒神器,0,1,2,0,0,0,0,0
644a1b6f0000000011010763,有姐妹问新手沉肩 肩胛轻松下沉 试试很容易,0,1,2,0,0,0,0,0
644bbe050000000013033913,会说话的女孩子到哪里都会发光——祝酒篇,0,2,0,0,0,1,0,0
6450b3e40000000027029384,许大晴 法式浪漫蕾丝连衣裙 对比测评,0,1,0,0,2,0,0,0
6451e8e700000000130358d6,瘦了66斤❗大基数减肥变化能有多大❓❗,0,2,2,0,1,0,0,0
6454c368000000000703bbfa,165cm 45kg十年舞蹈生的私藏变美小秘诀❗️,0,2,1,2,0,2,0,0
64566f26000000001301078f,奶奶的绝了！直接瘦五斤！！,0,2,1,2,0,0,0,0
6457905b000000001300a72d,记录我的五一 | 广州西关永庆坊游玩攻略！,0,1,2,0,0,0,0,0
6458c36d0000000027001a7a,职场vlog｜专治内耗pua｜ca个边吧全是女粉,0,2,0,0,1,2,0,0
64590a0d000000001303cc9f,考公复习的错误观念一：靠学习课程来考公,0,1,2,0,0,0,0,0
645c517b000000001300c976,我来告诉你 你为什么减肥次次失败,2,1,2,0,0,0,0,0
645d09260000000012031217,带着200斤老公和97斤妈妈吃一天减脂餐😆,0,0,1,0,2,0,0,0
6460c0b70000000014024f6c,急性子瘦腿快来❗这瘦腿太猛❗大腿已瘦7cm,0,2,0,0,2,1,0,0
6464aa360000000027012522,为什么男朋友要找肌肉男？？,0,0,2,0,0,1,0,0
6467021a0000000013010636,不按套路出牌，却意外好用的家居好物～,0,1,0,2,1,0,0,0
64674c640000000014026baa,老爸20年的管理智慧和管理新人分享一下,0,2,1,0,0,0,0,0
64677b4b00000000130331aa,45岁自律女人：运动的时间是🪄出来的！,0,2,0,0,2,1,2,2
6469db2100000000130124be,记录｜一个适合二次元搬砖的通勤痛包,0,1,0,0,0,2,0,0
646dee020000000013012bd6,时间少效果好！坐高铁最适合换头啦,0,2,0,1,0,0,0,0
646f488200000000070393ab,清华毕业，待业五年，但还是不想上班,0,0,0,0,2,1,1,0
